county_fips,mal_rate_increase_pct,covered_base_acres
35009,10.0331920740992,1221970.38
35013,10.0057217568558,25794.49
35037,10.0352589893015,281629.78
35041,10.0228231695601,306910.79
36003,10.0007455439368,65353.09
36009,10.000396772636,104319.19
36011,10.0052080848842,337040.82
36013,10.0004444720631,47793.78
36015,10.0001191180144,23422.15
36017,10,49135.7
36023,10.0000598968885,42152.44
36029,10.0032344813141,92189.99
36033,10,59362.05
36037,10.0076281899566,325380.99
36043,10,53877.11
36045,10.0010340628891,168426.7
36049,10,60618.4
36051,10.0085734984399,354805.15
36053,10.0014232710504,93594.4
36055,10.0132589954592,201830.72
36057,10.00013044312,76815.09
36063,10.0079521620801,260900.14
36065,10.0023895404968,121187.4
36067,10.0045289215968,209946.05
36069,10.0078880727917,318827.75
36073,10.0071372478369,336367.05
36075,10.0013267258783,28501.14
36077,10.0001898475023,55023.11
36089,10,86330.2
36095,10.0001088029764,34576.26
36097,10.0053415293175,12046.55
36099,10.0076770510428,199206.96
36101,10.0026996366967,96175.83
36107,10.0002109288521,50775.415
36109,10.0039978543667,50483.93
36115,10.0000492069444,131725.31
36117,10.0044722944596,171825.56
36121,10.0024779994662,185231.5169
36123,10.0102787330492,21660.51
37001,10.0159638959588,20136.25
37007,10.0104018978851,60454.66
37013,10.0082830633707,873445.05
37025,10.0114609129561,26212.65
37033,10.0270770420661,22729.92
37035,10.006091951076,27302.78
37037,10.003066689374,20962.41
37039,10.0028722171791,3987.86
37045,10.0087534804344,51951.13
37049,10.0071320167931,141217.11
37051,10.0059313542609,165407.79
37057,10.0037880950715,31734.42
37061,10.0050493555579,571595.2
37067,10.0067561252376,15192.88
37069,10.0222846867235,101099.2
37071,10.012658455678,13167.72
37073,9.99499922153702,88571.97
37077,10.0231148499723,34163.7
37079,10.0045347760233,212902.29
37081,10.0099754690147,52615.09
37083,9.98275005782608,128229.34
37085,10.0044818894909,90137.72
37093,10.0130095295002,32099.27
37097,10.0026158925348,91092.5800000001
37101,10.0053284174787,247905.35
37105,10.007084370231,15169.45
37107,10.0094702949507,250379.15
37109,10.0121907360761,34300.8
37123,10.0080165035333,7974.05
37125,10.0148653322139,16973.25
37127,10.0058282285178,151153.03
37131,9.97983525080501,113929.54
37135,10.0196526693428,33186.82
37139,10.0112836844981,323608.8
37145,10.0216034350818,46860.02
37147,10.0068837103994,315220.19
37153,10.0238834561386,18841.49
37155,10.0068333692395,1277634.15
37157,10.0308952325872,31261.82
37159,10.0083617748915,67098.41
37163,10.0054712772659,539935.02
37167,10.0111321548601,63100.29
